title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Mémoire confidentiel sur le chemin de fer de Québec et Montmorency,J. C. Langelier,finance,First published in 1880,/works/OL7723084W?edition=ia%3Acihm_04762,/authors/OL2390419A/J._C._Langelier,//covers.openlibrary.org/b/olid/OL23287697M-M.jpg,Publish Date 1880|Publisher  s.n.|Language French,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The history of the public revenue, from the revolution in 1688, to Christmas 1753",James Postlethwayt,finance,First published in 1759,/works/OL7860041W,/authors/OL2520329A/James_Postlethwayt,/images/icons/avatar_book-sm.png,"Publish Date 1759|Publisher  Printed for the author, and sold by J. Knapton|Language English|Pages 352",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Principles of public finance,Mayne S. Howard,finance,First published in 1940,/works/OL7651079W,/authors/OL2351501A/Mayne_S._Howard,/images/icons/avatar_book-sm.png,"Publish Date 1940|Publisher  Commerce clearing house, inc.|Language English|Pages 438",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Money Culture (6),Michael Lewis,finance,First published in 1992,/works/OL7944772W,/authors/OL2649700A/Michael_Lewis,//covers.openlibrary.org/b/olid/OL24604602M-M.jpg,Publish Date 2011|Publisher  Norton,This edition doesn't have a description yet. Can you add one?,2 Want to read|0 Currently reading|0 Have read
Kiplinger's Ask Kim for Money Smart Solutions,Kimberly Lankford,finance,First published in 2007,/works/OL7911978W?edition=ia%3Akiplingersaskkim0000lank,/authors/OL2636904A/Kimberly_Lankford,//covers.openlibrary.org/b/olid/OL22510490M-M.jpg,Publish Date 2007|Publisher  Kaplan|Language English|Pages 243,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|1 Have read
"Finansy, pravitel'stvo i obshchestvennye interesy",M. I. Bogolepov,finance,First published in 1907,/works/OL7436768W,/authors/OL2247135A/M._I._Bogolepov,/images/icons/avatar_book-sm.png,Publish Date 1907|Publisher  O.N. Popova|Language Russian|Pages 333,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Trading on the equity by industrial companies,Charles Laselle Jamison,finance,First published in 1934,/works/OL7480548W,/authors/OL2269464A/Charles_Laselle_Jamison,/images/icons/avatar_book-sm.png,"Publish Date 1934|Publisher  University of Michigan, School of Business Administration, Bureau of Business Research|Language English|Pages 50",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
A method of measuring the financial ability of Kentucky school districts to support an educational program,Robert L. Mills,finance,First published in 1951,/works/OL7463349W,/authors/OL2260457A/Robert_L._Mills,/images/icons/avatar_book-sm.png,Publish Date 1951|Publisher  University of Kentucky|Language English|Pages 100,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
What every woman should know about finance,Mabel Raef Putnam,finance,First published in 1954,/works/OL7488738W?edition=ia%3Awhateverywomansh00putn,/authors/OL2274310A/Mabel_Raef_Putnam,//covers.openlibrary.org/b/olid/OL6155118M-M.jpg,Publish Date 1954|Publisher  Scribner|Language English|Pages 254,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Public library finance,"Gray, Duncan.",finance,First published in 1938,/works/OL7423302W,/authors/OL2241292A/Gray_Duncan.,/images/icons/avatar_book-sm.png,"Publish Date 1938|Publisher  G. Allen and Unwin, ltd.|Language English|Pages 152",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
