title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"Tijain ŏje wa onŭl, kŭrigo naeil",Kŭm-ju Kim,design,First published in 2016,/works/OL32712909W,/authors/OL11878311A/Kŭm-ju_Kim,/images/icons/avatar_book-sm.png,Publish Date 2016|Publisher  Chigu Munhwa|Language Korean|Pages 379,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Riben she ji de wei lai xue,E Zhu,design,First published in 2010,/works/OL23446195W,/authors/OL8898935A/E_Zhu,/images/icons/avatar_book-sm.png,Publish Date 2010|Publisher  Shang zhou chu ban|Language Chinese|Pages 379,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Shi ji dao,Jian Hang,design,First published in 2009,/works/OL22369291W,/authors/OL4165901A/Jian_Hang,/images/icons/avatar_book-sm.png,Publish Date 2009|Publisher  Chongqing da xue chu ban she|Language Chinese|Pages 348,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Lie bian zhong de chuan cheng,Kai Zhuge,design,First published in 2007,/works/OL24115280W,/authors/OL6530098A/Kai_Zhuge,/images/icons/avatar_book-sm.png,Publish Date 2007|Publisher  Chongqing da xue chu ban she|Language Chinese|Pages 246,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Zhongguo yi shu she ji gai lun,Jiamin Wang,design,First published in 2006,/works/OL16004594W,/authors/OL6787567A/Jiamin_Wang,/images/icons/avatar_book-sm.png,Publish Date 2006|Publisher  Zhongguo wen lian chu ban she|Language Chinese|Pages 457,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Kisshō no zuan,Shōdō Kawarazaki,design,First published in 2011,/works/OL32986237W,/authors/OL11968712A/Shōdō_Kawarazaki,/images/icons/avatar_book-sm.png,Publish Date 2011|Publisher  Unsōdō|Language Japanese|Pages 85,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Asai Chū no zuan,Chū Asai,design,First published in 2011,/works/OL32919579W,/authors/OL8737161A/Chū_Asai,/images/icons/avatar_book-sm.png,Publish Date 2011|Publisher  Unsōdō|Language Japanese|Pages 83,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Dijain kwa imiji chilso =,Pyŏng-gwŏn O,design,First published in 1999,/works/OL13662253W,/authors/OL6517971A/Pyŏng-gwŏn_O,//covers.openlibrary.org/b/olid/OL22720724M-M.jpg,Publish Date 1999|Publisher  Ihwa Yŏja Taehakkyo Chʻulpʻanbu|Language Korean|Pages 171,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Chŏntʻong munyang charyojip,Yŏng-ju Im,design,First published in 1986,/works/OL23004066W,/authors/OL4288162A/Yŏng-ju_Im,/images/icons/avatar_book-sm.png,Publish Date 1986|Publisher  Mijinsa|Language Korean|Pages 229,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Silmu tijain, tijain chŏn'gongsaeng, p'ŭriraensŏ rŭl wihan tijain chŏngbo paeksŏ",Pit'i T'aimjŭ. P'yŏnjippu,design,First published in 2018,/works/OL32399143W,/authors/OL11753290A/Pit'i_T'aimjŭ._P'yŏnjippu,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Pit'i T'aimjŭ|Language Korean|Pages 116,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
