title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"Protozoans, algae & other protists",Steve Parker,juvenile_literature,First published in 2009,/works/OL10663135W?edition=ia%3Aprotozoansalgaeo0000park,/authors/OL43360A/Steve_Parker,//covers.openlibrary.org/b/olid/OL23180362M-M.jpg,Publish Date 2009|Publisher  Compass Point Books|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
How to draw cool fashions,Kathryn Clay,juvenile_literature,First published in 2009,/works/OL12017717W?edition=ia%3Ahowtodrawcoolfas0000clay,/authors/OL5187911A/Kathryn_Clay,//covers.openlibrary.org/b/olid/OL23082116M-M.jpg,Publish Date 2009|Publisher  Snap Books|Language English,"""Lively text and fun illustrations describe how to draw cool fashions""--Provided by publisher.   Read more Read less",3 Want to read|0 Currently reading|0 Have read
The garden spider,Julia Hutchison,juvenile_literature,First published in 1983,/works/OL11890709W,/authors/OL5095870A/Julia_Hutchison,/images/icons/avatar_book-sm.png,Publish Date 1983|Publisher  Blackwell|Language English|Pages 11,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Buzzing bugs,Tom Greve,juvenile_literature,First published in 2009,/works/OL11892040W?edition=ia%3Abuzzingbugs0000grev,/authors/OL5096882A/Tom_Greve,//covers.openlibrary.org/b/olid/OL16885752M-M.jpg,Publish Date 2009|Publisher  Rourke Pub. Co.|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Rock climbing,Tom Greve,juvenile_literature,First published in 2009,/works/OL11892047W?edition=ia%3Arockclimbing0000grev,/authors/OL5096882A/Tom_Greve,//covers.openlibrary.org/b/olid/OL23082218M-M.jpg,Publish Date 2009|Publisher  Rourke Pub. LLC|Language English|Pages 24,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Dirt bikes,Lori Polydoros,juvenile_literature,First published in 2010,/works/OL11999786W?edition=ia%3Adirtbikes0000poly,/authors/OL5176800A/Lori_Polydoros,//covers.openlibrary.org/b/olid/OL23534000M-M.jpg,Publish Date 2010|Publisher  Capstone Press|Language English,"""Discusses the history of dirt bikes, their design, and the events dirt bikes are used in, including motocross and freestyle competitions""--Provided by publisher.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
"Words for talking, reading and writing",Prestongate Associates.,juvenile_literature,First published in 1978,/works/OL12071845W,/authors/OL5222523A/Prestongate_Associates.,/images/icons/avatar_book-sm.png,Publish Date 1978|Publisher  Collins|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Amazing birds,Brenda Williams,juvenile_literature,First published in 2008,/works/OL11943930W?edition=ia%3Aamazingbirds0000will,/authors/OL5134409A/Brenda_Williams,//covers.openlibrary.org/b/olid/OL16833827M-M.jpg,Publish Date 2008|Publisher  Gareth Stevens Pub.|Language English|Pages 32,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Animal world,Ingrid Cranfield,juvenile_literature,First published in 1991,/works/OL11937317W,/authors/OL5129816A/Ingrid_Cranfield,/images/icons/avatar_book-sm.png,Publish Date 1991|Publisher  Hamlyn Children's Books|Language English|Pages 64,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Gorillas,Paul Fleisher,juvenile_literature,First published in 2001,/works/OL12220067W?edition=ia%3Agorillas00flei,/authors/OL5321410A/Paul_Fleisher,//covers.openlibrary.org/b/olid/OL23065207M-M.jpg,Publish Date 2001|Publisher  Benchmark Books|Language English|Pages 112,"Introduces the study of gorillas with emphasis on their habitat, physical characteristics, social life, intelligence, relationship to humans, and status as an endangered species.   Read more Read less",1 Want to read|0 Currently reading|0 Have read
