title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
A short road to health,Maxim Petrovich Melnik,nutrition,First published in 1943,/works/OL7671777W,/authors/OL2363352A/Maxim_Petrovich_Melnik,/images/icons/avatar_book-sm.png,Publish Date 1943|Publisher  Meador|Language English|Pages 94,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Survey of national nutrition policies, 1937/38",League of Nations. Secretariat. Financai...,nutrition,First published in 1938,/works/OL7636287W,/authors/OL2343342A/League_of_Nations._Secretariat._Financail_Section_and_Economic_Intelligence_Service.,/images/icons/avatar_book-sm.png,Publish Date 1938|Language English|Pages 120,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Bananas,United Fruit Company. Educational Dept.,nutrition,First published in 1930,/works/OL7606006W,/authors/OL2334996A/United_Fruit_Company._Educational_Dept.,/images/icons/avatar_book-sm.png,Publish Date 1930|Publisher  United Fruit Company|Language English|Pages 23,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The nutrition bible,Jean Anderson,nutrition,First published in 1995,/works/OL775565W,/authors/OL64292A/Jean_Anderson,/images/icons/avatar_book-sm.png,Publish Date 1995|Publisher  Morrow|Language English|Pages 470,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Maize and maize diets,Food and Agriculture Organization of the...,nutrition,First published in 1953,/works/OL7380154W,/authors/OL2203223A/Food_and_Agriculture_Organization_of_the_United_Nations._Nutrition_Division.,/images/icons/avatar_book-sm.png,Publish Date 1953|Publisher  Food and Agriculture Organization of the United Nations|Language English|Pages 94,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Caring for your food,J. Acton Smith,nutrition,First published in 1968,/works/OL7400433W,/authors/OL2223785A/J._Acton_Smith,/images/icons/avatar_book-sm.png,Publish Date 1968|Publisher  Pergamon Press|Language English|Pages 57,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Food and nutrient intakes of British infants aged 6-12 months,Alison Mills,nutrition,First published in 1992,/works/OL7209630W,/authors/OL2071768A/Alison_Mills,/images/icons/avatar_book-sm.png,Publish Date 1992|Publisher  HMSO|Language English|Pages 126,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The meaning of human nutrition,Mina Marie (Wolf) Lamb,nutrition,First published in 1973,/works/OL7139537W?edition=ia%3Aunset0000unse_k3g9,/authors/OL2031260A/Mina_Marie_(Wolf)_Lamb,//covers.openlibrary.org/b/olid/OL5291439M-M.jpg,Publish Date 1973|Publisher  Pergamon Press|Language English|Pages 284,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Diet and bodily constitution,Ciba Foundation Study Group (17th 1963 L...,nutrition,First published in 1964,/works/OL7383120W,/authors/OL2206473A/Ciba_Foundation_Study_Group_(17th_1963_London_England),/images/icons/avatar_book-sm.png,"Publish Date 1964|Publisher  Little, Brown|Language English|Pages 120",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Dr. Attwood's Low-Fat Prescription Diet for Kids,Charles Attwood,nutrition,First published in 1996,/works/OL7319583W,/authors/OL2151945A/Charles_Attwood,//covers.openlibrary.org/b/olid/OL7350886M-M.jpg,"Publish Date March 1, 1996|Publisher  Penguin (Non-Classics)|Language English|Pages 318",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Nutritional anaemias,World Health Organization. Scientific Gr...,nutrition,First published in 1968,/works/OL7319978W,/authors/OL2152199A/World_Health_Organization._Scientific_Group_on_Nutritional_Anaemias.,/images/icons/avatar_book-sm.png,Publish Date 1968|Publisher  World Health Organization|Language English|Pages 37,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Laporan Badan Perbaikan Gizi di Propinsi Djawa Tengah,"Djawa Tengah, Indonesia. Badan Perbaikan...",nutrition,First published in 1971,/works/OL7195974W,/authors/OL2064918A/Djawa_Tengah_Indonesia._Badan_Perbaikan_Gizi.,/images/icons/avatar_book-sm.png,Publish Date 1971|Publisher  Sekretariat Pemerintah Daerah Propinsi Djawa Tengah|Language Indonesian,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Human nutrition: principles and applications in India,Maxine E. McDivitt,nutrition,First published in 1969,/works/OL7326754W,/authors/OL2156856A/Maxine_E._McDivitt,/images/icons/avatar_book-sm.png,Publish Date 1969|Publisher  Prentice-Hall of India|Language English|Pages 192,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Prilog poznavanju ishrane seoskog stanovništva Srbije,Aleksandar Đaja,nutrition,First published in 1955,/works/OL7337508W,/authors/OL2167111A/Aleksandar_Đaja,/images/icons/avatar_book-sm.png,Publish Date 1955|Publisher  Srpska akademija nauka|Language Serbian|Pages 75,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Jogging plus,Reg Lewis,nutrition,First published in 1969,/works/OL7328766W,/authors/OL2158841A/Reg_Lewis,/images/icons/avatar_book-sm.png,Publish Date 1969|Publisher  Pacifica House|Language English|Pages 72,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Report of the Joint FAO/WHO Technical Meeting on Methods of Planning and Evaluation in Applied Nutrition Programs, Rome, Italy, 11-16 January 1965",Joint FAO/WHO Technical Meeting on Metho...,nutrition,First published in 1966,/works/OL7240818W,/authors/OL2098092A/Joint_FAO_WHO_Technical_Meeting_on_Methods_of_Planning_and_Evaluation_in_Applied_Nutrition_Programs_,/images/icons/avatar_book-sm.png,Publish Date 1966|Publisher  World Health Organization|Language English|Pages 77,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Nutrition: a comprehensive treatise,George H. Beaton,nutrition,First published in 1964,/works/OL7382006W?edition=ia%3Anutritioncompreh01beat,/authors/OL2205222A/George_H._Beaton,//covers.openlibrary.org/b/olid/OL5913193M-M.jpg,Publish Date 1964|Publisher  Academic Press|Language English,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Nutrition for tots to teens,Emory W. Thurston,nutrition,First published in 1976,/works/OL6904066W,/authors/OL1909979A/Emory_W._Thurston,/images/icons/avatar_book-sm.png,"Publish Date 1976|Publisher  Argold Press,              distributed by Institute of Nutritional Research|Language English|Pages 159",This edition doesn't have a description yet. Can you add one?,2 Want to read|0 Currently reading|0 Have read
Foundations of nutrition [by] Clara Mae Taylor and Orrea Florence Pye,Clara Mae Taylor,nutrition,First published in 1966,/works/OL7329439W,/authors/OL2159660A/Clara_Mae_Taylor,/images/icons/avatar_book-sm.png,Publish Date 1966|Publisher  Macmillan|Language English|Pages 564,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Simplified infant feeding,Roger Herbert Dennett,nutrition,First published in 1915,/works/OL7905850W?edition=ia%3Asimplifiedinfant00dennuoft,/authors/OL2615976A/Roger_Herbert_Dennett,//covers.openlibrary.org/b/olid/OL7233975M-M.jpg,Publish Date 1915|Publisher  J.B. Lippincott,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Final report of the Mixed Committee of the League of Nations on the relation of nutrition to health, agriculture and economic policy","League of Nations.  Nutrition, Mixed Com...",nutrition,First published in 1937,/works/OL7871717W?edition=ia%3Afinalreportofmix00leaguoft,/authors/OL2540134A/League_of_Nations._Nutrition_Mixed_Committee_on_the_Problem_of.,//covers.openlibrary.org/b/olid/OL7034046M-M.jpg,Publish Date 1937|Publisher  League of Nations,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
The Mellin's food method of percentage feeding,Mellin's Food Company.,nutrition,First published in 1908,/works/OL7861940W?edition=ia%3Amellinsfoodmeth00compgoog,/authors/OL2522332A/Mellin's_Food_Company.,//covers.openlibrary.org/b/olid/OL6993835M-M.jpg,Publish Date 1908|Publisher  Press of Mellin's Food Company|Language English|Pages 183,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
