title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Global Corporations in Global Governance,Christopher May,business__economics,First published in 2015,/works/OL20293682W,/authors/OL7690224A/Christopher_May,//covers.openlibrary.org/b/olid/OL27494976M-M.jpg,"Publish Date Mar 27, 2015|Publisher  Routledge|Pages 164",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Unproductive Labour in Political Economy,Cosimo Perrotta,business__economics,First published in 2018,/works/OL21357549W,/authors/OL7733270A/Cosimo_Perrotta,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Taylor & Francis Group|Language English|Pages 284,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
History of Business Cartels,Martin Shanahan,business__economics,First published in 2022,/works/OL27086614W,/authors/OL3047615A/Martin_Shanahan,/images/icons/avatar_book-sm.png,Publish Date 2022|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Sustainability Technology and Innovation 4. 0,Zbigniew Makiea,business__economics,First published in 2021,/works/OL25321922W,/authors/OL9574159A/Zbigniew_Makiea,/images/icons/avatar_book-sm.png,Publish Date 2021|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Corporate Social Responsibility in the Arctic,Gisele M. Arruda,business__economics,First published in 2021,/works/OL25315678W,/authors/OL9571108A/Gisele_M._Arruda,/images/icons/avatar_book-sm.png,Publish Date 2021|Publisher  Taylor & Francis Group|Language English|Pages 226,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Managing Risk of Supply Chain Disruptions,Tong Shu,business__economics,First published in 2014,/works/OL21261041W,/authors/OL2902116A/Tong_Shu,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Trust Organizations and the Digital Economy,Joanna Olga Paliszkiewicz,business__economics,First published in 2021,/works/OL25325640W,/authors/OL6567774A/Joanna_Olga_Paliszkiewicz,/images/icons/avatar_book-sm.png,Publish Date 2021|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Philanthrocapitalism: how the rich can save the world, and why we should let them",Matthew Bishop,business__economics,First published in 2008,/works/OL12125160W?edition=ia%3Aphilanthrocapita00matt,/authors/OL5258114A/Matthew_Bishop,//covers.openlibrary.org/b/olid/OL26343683M-M.jpg,Publish Date 2009|Publisher  Bloomsbury Press|Language English|Pages 306,"Evaluates the ways in which leading philanthropists are revolutionizing their charitable activism, citing the contributions of such figures as Bill Gates and Oprah Winfrey in using focused donations for societal change.   Read more Read less",5 Want to read|0 Currently reading|0 Have read
Working with Americans,Allyson Stewart Allen,business__economics,First published in 2002,/works/OL20992910W?edition=ia%3Aworkingwithameri0000stew,/authors/OL3410046A/Allyson_Stewart_Allen,//covers.openlibrary.org/b/olid/OL10287826M-M.jpg,Publish Date August 2002|Publisher  Financial Times Management|Language English|Pages 302,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Political Economy and Media Coverage of the European Economic Crisis,Julien Mercille,business__economics,First published in 2014,/works/OL21269577W?edition=ia%3Apoliticaleconomy0000merc,/authors/OL7594339A/Julien_Mercille,//covers.openlibrary.org/b/olid/OL28797042M-M.jpg,Publish Date 2014|Publisher  Taylor & Francis Group|Language English|Pages 234,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
